FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
1,major,IT 대학,,,,전자정보공학부,"▶전자정보공학부◀
-형남공학관 317호
☏TEL : 02-820-0919
☎FAX : 02-821-7653",http://infocom.ssu.ac.kr/rb/,
2,major,IT 대학,,,,전자공학전공,"▶전자정보공학부◀
-형남공학관 317호
☏TEL : 02-820-0919
☎FAX : 02-821-7654",http://infocom.ssu.ac.kr/rb/,
3,major,IT 대학,,,,IT융합전공,"▶전자정보공학부◀
-형남공학관 317호
☏TEL : 02-820-0919
☎FAX : 02-821-7655",http://infocom.ssu.ac.kr/rb/,
4,major,IT 대학,,,,정보통신전자공학부,"▶전자정보공학부◀
-형남공학관 317호
☏TEL : 02-820-0919
☎FAX : 02-821-7656",http://infocom.ssu.ac.kr/rb/,
5,major,IT 대학,,,,전정공,"▶전자정보공학부◀
-형남공학관 317호
☏TEL : 02-820-0919
☎FAX : 02-821-7657",http://infocom.ssu.ac.kr/rb/,
6,major,IT 대학,,,,컴퓨터학부,"▶컴퓨터학부◀
-정보과학관 105호
☏TEL : 02-820-0670
☎FAX : 02-822-3622",http://cse.ssu.ac.kr/,
7,major,IT 대학,,,,컴학,"▶컴퓨터학부◀
-정보과학관 105호
☏TEL : 02-820-0670
☎FAX : 02-822-3623",http://cse.ssu.ac.kr/,
8,major,IT 대학,,,,소프트웨어학부,"▶소프트웨어학부◀
-정보과학관 105호
☏TEL : 02-820-0940
☎FAX : 02-822-3622",https://sw.ssu.ac.kr/,
9,major,IT 대학,,,,소프트,"▶소프트웨어학부◀
-정보과학관 105호
☏TEL : 02-820-0940
☎FAX : 02-822-3623",https://sw.ssu.ac.kr/,
10,major,IT 대학,,,,스마트시스템소프트웨어학과,"▶스마트시스템소프트웨어학과◀
-형남공학관 424호
☏TEL : 02-820-0950
☎FAX : 02-821-7653",http://smartsw.ssu.ac.kr/,
11,major,IT 대학,,,,스시소,"▶스마트시스템소프트웨어학과◀
-형남공학관 424호
☏TEL : 02-820-0950
☎FAX : 02-821-7654",http://smartsw.ssu.ac.kr/,
12,major,IT 대학,,,,글로벌미디어학부,"▶글로벌미디어학부◀
-정보과학관 104호
☏TEL : 02-820-0910
☎FAX : 02-822-3622",http://media.ssu.ac.kr/,
13,,IT 대학,,,,글미,"▶글로벌미디어학부◀
-정보과학관 104호
☏TEL : 02-820-0910
☎FAX : 02-822-3623",http://media.ssu.ac.kr/,
14,major,IT 대학,,,,미디어경영학과,"▶미디어경영학과◀
-정보과학관 104호
☏TEL : 02-820-0910
☎FAX : 02-822-3623",http://mediamba.ssu.ac.kr/,
15,major,IT 대학,,,,미경,"▶미디어경영학과◀
-정보과학관 104호
☏TEL : 02-820-0910
☎FAX : 02-822-3624",http://mediamba.ssu.ac.kr/,
16,major,IT 대학,,,,IT대학,"▶IT대학◀
-형남공학관 317호
☏TEL : 02-820-0932
☎FAX : 02-822-3622",http://pre.ssu.ac.kr/web/kor/edu_a_08_01,
17,major,IT 대학,,,,아이티,"▶IT대학◀
-형남공학관 317호
☏TEL : 02-820-0932
☎FAX : 02-822-3623",http://pre.ssu.ac.kr/web/kor/edu_a_08_01,
18,major,인문대학,,,,인문대학,"▶인문대학◀
-조만식기념관 423호
☏TEL : 02-820-0304
☎FAX : 02-824-4382",http://pre.ssu.ac.kr/web/kor/edu_a_01_01,
19,major,인문대학,,,,기독교학과,"▶기독교학과◀
-조만식기념관 640호
☏TEL : 02-820-0070
☎FAX : 02-824-4382",http://pre.ssu.ac.kr/web/kor/edu_a_01_03_a,
20,major,인문대학,,,,국어국문학과,"▶국어국문학과◀
-조만식기념관 641호
☏TEL : 02-820-0320
☎FAX : 02-824-4382",https://korlan.ssu.ac.kr/,
21,major,인문대학,,,,국문과,"▶국어국문학과◀
-조만식기념관 641호
☏TEL : 02-820-0320
☎FAX : 02-824-4383",https://korlan.ssu.ac.kr/,
22,major,인문대학,,,,국문과,"▶국어국문학과◀
-조만식기념관 641호
☏TEL : 02-820-0320
☎FAX : 02-824-4384",https://korlan.ssu.ac.kr/,
23,major,인문대학,,,,국문,"▶국어국문학과◀
-조만식기념관 641호
☏TEL : 02-820-0320
☎FAX : 02-824-4385",https://korlan.ssu.ac.kr/,
24,major,인문대학,,,,영어영문학과,"▶영어영문학과◀
-조만식기념관 645호
☏TEL : 02-820-0330
☎FAX : 02-824-4382",http://pre.ssu.ac.kr/web/englan,
25,major,인문대학,,,,영문과,"▶영어영문학과◀
-조만식기념관 645호
☏TEL : 02-820-0330
☎FAX : 02-824-4383",http://pre.ssu.ac.kr/web/englan,
26,major,인문대학,,,,영문,"▶영어영문학과◀
-조만식기념관 645호
☏TEL : 02-820-0330
☎FAX : 02-824-4384",http://pre.ssu.ac.kr/web/englan,
27,major,인문대학,,,,독어독문학과,"▶독어독문학과◀
-조만식기념관 642호
☏TEL : 02-820-0350
☎FAX : 02-824-4382",https://gerlan.ssu.ac.kr/,
28,major,인문대학,,,,독문,"▶독어독문학과◀
-조만식기념관 642호
☏TEL : 02-820-0350
☎FAX : 02-824-4383",https://gerlan.ssu.ac.kr/,
29,major,인문대학,,,,독문과,"▶독어독문학과◀
-조만식기념관 642호
☏TEL : 02-820-0350
☎FAX : 02-824-4384",https://gerlan.ssu.ac.kr/,
30,major,인문대학,,,,불어불문학과,"▶불어불문학과◀
-조만식기념관 643호
☏TEL : 02-820-0360
☎FAX : 02-824-4382",https://france.ssu.ac.kr/,
31,major,인문대학,,,,불문,"▶불어불문학과◀
-조만식기념관 643호
☏TEL : 02-820-0360
☎FAX : 02-824-4383",https://france.ssu.ac.kr/,
32,major,인문대학,,,,불문과,"▶불어불문학과◀
-조만식기념관 643호
☏TEL : 02-820-0360
☎FAX : 02-824-4384",https://france.ssu.ac.kr/,
33,major,인문대학,,,,중어중문학과,"▶중어중문학과◀
-조만식기념관 644호
☏TEL : 02-820-0390
☎FAX : 02-821-0390",https://chilan.ssu.ac.kr/,
34,major,인문대학,,,,중문,"▶중어중문학과◀
-조만식기념관 644호
☏TEL : 02-820-0390
☎FAX : 02-821-0391",https://chilan.ssu.ac.kr/,
35,major,인문대학,,,,중문과,"▶중어중문학과◀
-조만식기념관 644호
☏TEL : 02-820-0390
☎FAX : 02-821-0392",https://chilan.ssu.ac.kr/,
