FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
1,학사포탈(u-SAINT),,,,,학사 관련 민원 전화번호,"
학사 관련 민원 전화번호

-이석원 ☎828-7405 학사총괄, 대내외 민원

-지승규 ☎828-7403 졸업(이수구분, 학점등록), 다전공, 전과

-우선경 ☎828-7404 성적,  출석부, 휴·보강,  교환학생 / K?MOOC학점인정

-전세용 ☎820-0152 학적변동(휴·복학,제적,재입학), 시간제, 학사경고

-김동준 ☎828-7402 시간표(폐강), 국내대학 학점교류(숭실사이버대 등)

-윤홍준 ☎820-0154 수강신청

-이주원 ☎828-7401 교과과정 (과목 신설, 변경, 폐지)

-김화연 ☎820-0151 수업지원(계절제 등), 조기취업

-양승효 ☎820-0153 증명발급",,
2,학사,자퇴,,,,자퇴,"자퇴 신청 방법
타 대학 입학, 유학, 직장 사유에 따른 자퇴 신청은 부모님 동의를 받고 신청 가능합니다.
1. 준비물 : 부모님 중 한 분 도장
2. 신청방법 : 학적팀 방문신청, 서류제출 시 부모님과 확인 통화 필요함
3. 신청기간 : 희망 시 (단, 성적처리 기간(6~7월 중순, 12~1월 중순)은 학사 시스템 입력이 불가하므로 신청 불가)
문의처: 교무처 학적팀(형남공학관 2층) Tel.(02)820-0152
타 대학 입학, 유학, 직장 사유에 따른 자퇴 신청은 부모님 동의를 받고 신청 가능합니다.

1. 준비물 : 본인 도장, 부모님 한 분 도장
2. 신청방법 : 학사지원과 방문신청, 서류제출 시 부모님과 확인 통화 가능해야 함
3. 신청기간 : 희망 시 (단, 성적처리 기간(6~7월 중순, 12~1월 중순)은 신청 불가)

문의처: 교무처 학사지원과(형남공학관 2층) Tel.(02)820-0152",,
3,학사,제적처리,,,,제적처리,"제척 처리가 되는 경우!

학칙 제29조에 따라, 재학 중 등록금을 내지 않는 경우(미등록), 휴학이 끝나도 복학하지 않는 경우(미복학, 휴학기간 초과) 또는 학사경고가 3학기 이상 누적되는 경우나 징계에 의해 퇴학되는 경우 제적 처리됩니다. 매 학기 추가등록기간 마감 직후 제적대상자가 추려지며, 해당 학생에게는 등기우편(배달증명), 문자메시지, 학과 전화상담 등으로 연락 후 적절한 조치를 통해 회생되거나 최종 제적처리 됩니다.
문의처: 교무처 학적팀(형남공학관 2층) Tel.(02)820-0152",,
4,학사,재입학,,,,재입학,"재입학 하는 방법!

학칙시행세칙(학사과정) 제4조 2항에 따라,
재입학하는 학기는 본인이 제적되기 전 이수한 다음 학기로 합니다.
재입학 신청은 입학 희망 시기 1년 전 ~ 2개월 전까지 교무처 학적팀에 전화로 신청해야 합니다.

문의처: 교무처 학적팀(형남공학관 2층) Tel.(02)820-0152",,
5,학사,휴학,,,,군휴학 신청,"군휴학 신청 방법!

학칙시행세칙(학사과정) 제5조 2항에 따라, 군휴학은 입대 1주일 전부터 1일 전까지 인터넷 u-SAINT 포털로 신청해야 하며, 입대일 이후에는 인터넷 신청이 불가하니 유의하시기 바랍니다.

신청메뉴 : 학사관리 ? 학적변동 ? 휴학신청 ? 군휴학 선택",,
6,학사,휴학,,,,"신입생, 편입생, 재입학생 휴학","신입생, 편입생, 재입학생 휴학!

학칙 제27조 2항에 따라 신입생, 편입생, 재입학생은 입학 후 2학기(1년)동안은 군 입대(입영) 및 질병 외에는 휴학할 수 없습니다.
신입생, 편입생, 재입학생은 입학 후 1년간은 입대 7일전부터 또는 2학기 개강 전 소정기간에만 군휴학 신청이 가능합니다.
질병휴학은 학칙시행세칙(학사과정) 제5조 1항에 따라 전국 50개 이내인 상급종합병원에서 발행한 4주 이상 입원을 요하는 진단서를 제출하여 신청할 수 있습니다.",,
7,학사,휴학,신입생휴학,,,신입생휴학,"신입생, 편입생, 재입학생 휴학!

학칙 제27조 2항에 따라 신입생, 편입생, 재입학생은 입학 후 2학기(1년)동안은 군 입대(입영) 및 질병 외에는 휴학할 수 없습니다.
신입생, 편입생, 재입학생은 입학 후 1년간은 입대 7일전부터 또는 2학기 개강 전 소정기간에만 군휴학 신청이 가능합니다.
질병휴학은 학칙시행세칙(학사과정) 제5조 1항에 따라 전국 50개 이내인 상급종합병원에서 발행한 4주 이상 입원을 요하는 진단서를 제출하여 신청할 수 있습니다.",,
8,학사,휴학,편입생휴학,,,편입생휴학,"신입생, 편입생, 재입학생 휴학!

학칙 제27조 2항에 따라 신입생, 편입생, 재입학생은 입학 후 2학기(1년)동안은 군 입대(입영) 및 질병 외에는 휴학할 수 없습니다.
신입생, 편입생, 재입학생은 입학 후 1년간은 입대 7일전부터 또는 2학기 개강 전 소정기간에만 군휴학 신청이 가능합니다.
질병휴학은 학칙시행세칙(학사과정) 제5조 1항에 따라 전국 50개 이내인 상급종합병원에서 발행한 4주 이상 입원을 요하는 진단서를 제출하여 신청할 수 있습니다.",,
9,학사,휴학,재입학생휴학,,,재입학생휴학,"신입생, 편입생, 재입학생 휴학!

학칙 제27조 2항에 따라 신입생, 편입생, 재입학생은 입학 후 2학기(1년)동안은 군 입대(입영) 및 질병 외에는 휴학할 수 없습니다.
신입생, 편입생, 재입학생은 입학 후 1년간은 입대 7일전부터 또는 2학기 개강 전 소정기간에만 군휴학 신청이 가능합니다.
질병휴학은 학칙시행세칙(학사과정) 제5조 1항에 따라 전국 50개 이내인 상급종합병원에서 발행한 4주 이상 입원을 요하는 진단서를 제출하여 신청할 수 있습니다.",,
10,학사,등록,등록금납부,,,등록금 납부,"등록금은 어디서 어떻게 납부하나요?

우리은행 전국 각 지점에서 납부할 수 있으며, 고지서에 적혀있는 우리은행 입금전용계좌로 온라인뱅킹(인터넷뱅킹, 텔레뱅킹, ATM)도 가능합니다. (단, 타은행계좌에서 입금시 송금수수료는 학생이 부담합니다.)
*시중은행계좌가 아닌 증권.CMA계좌에서는 납부가 불가능하오니 유의하시기 바랍니다.",,
11,학사,등록,등록금고지서,,,등록금고지서 발급,"등록금고지서 어떻게 발급받나요?

숭실대학교 홈페이지 → u-SAINT포털 → 학사/행정서비스 → 등록/장학 →등록금고지서 출력 순으로 직접 출력하시면 됩니다.
*등록금고지서는 집으로 별도 발송하지 않습니다.",,
12,학사,등록,분할납부,,,분할납부,"분할납부란?

분할납부제도란 수업료를 일정 비율로 나누어 납부하는 제도를 말하며, 우리학교는 학사과정 재학생에 한해 4회 분할납부를 실시하고 있습니다.",,
13,학사,등록,등록금납부기간,,,등록금 납부기간,"재학생 등록금 납부기간!

재학생 등록금 납부기간은 매학기 다를 수 있지만 대체로 1학기는 2월 말, 2학기는 8월 말이라고 생각하시면 됩니다. 정해진 등록기간 외에는 등록이 불가능하오니 학사력 일정을 미리 확인하시기 바랍니다. (공지문은 2월 초, 8월 초 학교 홈페이지 게재)",,
14,학사,등록,학점등록,,,학점등록,"학점 등록이란?

*학부(학사) : 8학기(10학기제는 10학기) 등록을 필하고도 졸업에 필요한 소정의 학점을 취 득하지 못하여 계속 수학할 경우, 그 부족한 학점수가 9학점 이하인 학생에 한 해 학점등록을 허가합니다.
*대학원(석/박사) : 4학기(5학기제는 5학기) 등록을 필하고도 졸업에 필요한 소정의 학점을 취득하지 못하여 계속 수학할 경우, 그 부족한 학점수가 3학점 이하인 학생에 한해 학점등록을 허가합니다.",,
15,봉사,사회봉사과목,,,,사회봉사과목,"사회봉사과목!

현재 개설되는 과목은 섬김의 리더십, 사회봉사실천1, 사회봉사실천2, 사회봉사실천3입니다. 2009학년도에 개설되었던 섬김의 리더십 이론과 실천은 섬김의 리더십과 동일과목으로 인정됩니다. 사회봉사1(1학점), 사회봉사2(2학점)는 현재 폐지되었으나, 졸업시까지 수강할 수 있는 사회봉사학점 4학점에는 포함이 됩니다.",,
16,봉사 ,봉사활동증명서,,,,봉사활동 증명서,"봉사활동 증명서 발급 방법!

“사회봉사 학점 또는 봉사센터에서 진행한 자원봉사에 대한 봉사활동 증명서는 봉사센터(미래관 106호) 또는 아래의 링크에서 발급신청이 가능합니다. 발급 신청 후 다음날 발급이 가능하며, 문자회신 후 봉사센터에서 수령이 가능합니다.( FAX 및 EMAIL 발급 불가)
▼증명서 발급신청 하러가기!▼",http://vssc.ssu.ac.kr/web/vssc/index,
17,봉사,4학년사회봉사,,,,4학년 사회봉사,"4학년, 사회봉사로 학점을 채울 수 있나요?

4학년 마지막 학기시라면 사회봉사과목을 수강하실 수 없습니다. 사회봉사과목은 7학기까지만 수강할 수 있으므로, 8학기 이상인 학생들은 수강하실 수 없습니다.",,
18,봉사,사회봉사과목,시간,,,봉사활동 시간,"봉사활동 얼마나 해야하나요?

섬김의 리더십은 18시간 이상, 사회봉사실천은 32시간 이상 봉사활동을 하셔야 합니다. 단, 1일 최대 6시간까지만 인정되며 초과된 시간은 자원봉사로만 인정됩니다. 또한 기관의 프로그램에 따라서는 최소시간을 초과하는 경우가 있을 수 있으므로, 봉사기관에 처음 방문하여 OT등을 진행할 때 봉사기관 담당선생님과 상의하시기 바랍니다.",,
19,장학,국가장학금신청,,,,국가장학금신청,"국가장학금 신청!
한국장학재단 홈페이지를 통해 온라인으로만 신청 가능하며,

회원가입 및 로그인 시 공인인증서가 필요합니다.

▼한국장학재단 홈페이지 바로가기▼",www.kosaf.go.kr,
20,장학,국가장학금,기간,,,국가장학금 신청기간,"국가장학금 신청기간!

1차 신청기간에는 현재 대학 재학생 및 복학예정자를 대상으로 신청 받을 예정이며,
신입생의 경우 학교가 정해지지 않았기에 2차 신청기간을 통해 추가 신청 받을 예정입니다.",,
21,장학,국가장학금,자격,,,국가장학금 신청자격,"국가장학금 신청자격

현재 대학(학부)에 재학 및 입학(복학)예정인 자가 신청대상입니다.

(학부휴학생 및 대학원생은 제외)

- Ⅰ유형은 소득 3분위 이하 대학생, Ⅱ유형 소득7분위 이하 대학생을 대상으로 하며 직전학기 이수학점 12학점 이상, 성적은 100점 만점의 80점 이상에 해당하는 학생입니다. 신입생의 성적기준은 내신 1/2과목 6등급이내, 수능 2개 영역 이상 6등급이내에 해당하는 자입니다.",,
22,장학,장학생 선정여부,,,,장학생 선정여부,"장학생 선정여부 확인!

u-SAINT 포털 로그인 → 등록/장학 → 장학 → ‘장학금수혜내역조회’에서 조회 가능 

1학기 장학생은 2월 초, 2학기 장학생은 8월 초 등록금고지서가 오픈되면서 장학금내역을 확인할 수 있습니다.

▼u-SAINT 바로가기▼",https://saint.ssu.ac.kr/,
23,장학,백마성적우수장학금,,,,백마성적우수장학금,"백마성적우수장학금 자격!

1. 선발학기 국가장학금을 신청/서류제출을 완료한 자
2. 선발학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
3. 선발학기 前 등록휴학 후 복학시 선발대상에서 제외(등록대체자)
    ? 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
4. 직전학기 15학점 이상 이수한 자 (졸업직전학기는 직전학기 12학점 이상)
5. 등록학기가 8학기 이내인 자(건축학과 건축학전공 : 등록 10학기 이내인 자)
6. F학점 포함 학적부성적 기준 직전학기 3.5 이상인 자 

위 기준 외에 학과(부)마다 별도의 추가 선발 기준이 있을 수 있으므로,
정확한 선발기준은 해당 학과(부) 사무실로 문의해 주시기 바랍니다.",,
24,장학,중복수혜,,,,장학금 중복수혜,"장학금 중복수혜 가능한가요?

모든 교내장학금은 중복수혜할 수 없으며, 신청 장학금 중 금액이 큰 것으로 자동 선발됩니다.
단, 국가장학금 및 교외장학금 등 외부장학금 및 아래 교내장학금은 중복수혜가 가능합니다. 

[ 2016년 1학기 기준 중복가능 교내장학금 ]
교내/학과근로장학금, 포상장학금, 학과(부)우수장학금, 봉사장학금, 교육지원장학금",,
25,수강신청/수업,수업,채플,보충,,보충 채플,"보충 채플이란?

채플 출석 1회 부족으로 Fail 된 학생들이 보충채플을 수강함으로써 채플 Pass를 할 수 있 게 만든 제도입니다. (단, 학기마다 실시 여부는 변동될 수 있음)
문의처: 교목실 학원선교팀(한경직기념관 114호) Tel.(02)820-0125

채플이 종강한 다음 주 u-SAINT에서 신청가능!",,
26,수강신청/수업,수업,채플,이수,,채플 이수,"채플은 졸업할 때까지 몇 학기 이수해야하나요?

채플은 필수과목으로 총 6학기를 이수하여야 졸업이 가능합니다.
문의처: 교목실 학원선교팀(한경직기념관 114호) Tel.(02)820-0125",,
27,수강신청/수업,수업,채플,결석,,채플 결석,"채플 몇 번까지 결석 가능한가요?

한 학기 채플 일수의 2/3이상 출석 시 Pass가 됩니다.
문의처: 교목실 학원선교팀(한경직기념관 114호) Tel.(02)820-0125",,
