FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
1,캠퍼스맵,,,,,캠퍼스맵,캠퍼스맵 확인하러 가기!,https://ssu.ac.kr/%ed%95%99%ea%b5%90%ec%86%8c%ea%b0%9c/%ec%ba%a0%ed%8d%bc%ec%8a%a4%ec%95%88%eb%82%b4/%ec%ba%a0%ed%8d%bc%ec%8a%a4%eb%a7%b5/,
2,편의시설,매점,,,,매점,"♬교내 매점♬

-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
3,편의시설,매점,,,,편의점,"♬교내 매점♬

-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
4,편의시설,매점,,,,교내 매점,"♬교내 매점♬
-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
5,편의시설,매점,,,,교내 편의점,"♬교내 매점♬

-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
6,편의시설,카페,,,,카페,"교내 카페
-Nicky’s Take Out
위치: 웨스트민스터홀 3층 입구 뒤 쪽

-EBISU
위치: 형남공학관 2층

-네이버스퀘어
위치: 웨스트민스터홀 3층
전화번호: 02-820-0884

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B9%B4%ED%8E%98#map_area,
7,편의시설,카페,,,,교내 카페,"교내 카페
-Nicky’s Take Out
위치: 웨스트민스터홀 3층 입구 뒤 쪽

-EBISU
위치: 형남공학관 2층

-네이버스퀘어
위치: 웨스트민스터홀 3층
전화번호: 02-820-0884

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B9%B4%ED%8E%98#map_area,
8,편의시설,금융시설,,,,금융시설,"♬교내 매점♬

-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
9,편의시설,금융시설,,,,ATM,"교내 금융시설 / ATM
-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
10,편의시설,금융시설,,,,학교 내 금융시설,"교내 금융시설 / ATM
-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
