FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
,학생증,,,,,학생증 신청,"신청장소: 학생회관 504호(학생서비스팀)
☎문의전화: 02-820-0065, 0068
?E-mail: cs@ssu.ac.kr
자세한 내용은 링크를 통해서 확인해주세요!??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/id-%ec%b9%b4%eb%93%9c/%ec%8a%a4%eb%a7%88%ed%8a%b8%ec%b9%b4%eb%93%9c/,
,교환학생,지원자격,,,,교환학생 지원자격,"1. 본교에서 한 학기 이상 수료한 학부 재학생
2. 파견 대상학기가 학부 마지막 학기(8학기)에 해당되지 않는 학생
  ※ 졸업을 연기하더라도 8학기부터는 파견이 불가함
  ※ 5년제 건축학과의 경우, 9학기가 파견대상 마지막 학기임
3. 본교와 파견 예정 대학이 지정하는 요건(평균평점 및 공인 외국어 성적)을 갖춘 학생
  ※ 지원 시 제출한 외국어 공인 성적표는 추후 변경이 불가능 함
4. 파견국의 언어로 수업을 받을 수 있는 학생
  ※ 파견 예정 학교가 제시하는 언어 능력 기준을 충족해야 함
5. 해외 여행에 결격사유가 없는 자
자세한 내용은 링크를 통해서 확인해주세요!",http://pre.ssu.ac.kr/web/study/program_a_02,
,교환학생,진행절차,,,,교환학생 진행절차,교환학생 진행절차 보러가기!??,http://pre.ssu.ac.kr/web/study/197,http://pre.ssu.ac.kr/portlet-repositories/fckeditor/images/20141231/p/1420009019733.jpg
,교환학생,선발 및 파견시기,,,,교환학생 선발 및 파견시기,"순수교환, 방문교환, 특별파견
2월: 지원연도 가을학기 파견
8월: 지원 다음연도 봄학기 파견

Soongsil Honors Program
6월: 지원년도 가을학기 파견
※ SHP 프로그램 지원자(일반전형)는 반드시 2월 교환학생 모집기간에도 지원할 것
자세한 내용은 링크를 통해서 확인해주세요!",http://pre.ssu.ac.kr/web/study/program_a_03,
,교환학생,파견기간,,,,교환학생 파견기간,"교환학생 프로그램: 최대 2학기

유의사항
-전체 교환학생 프로그램 최대 2개 학기 수학 가능
-순수교환으로도 2개 학기 수학 가능 단, 2번째 학기의 경우 신규지원자에게 우선 선발권 있음.
(신규 교환학생 배정 후 TO 남은 대학에 지원 가능)
-졸업 연장 여부와 관계 없이 마지막 학기는 반드시 본교에서 수학해야 함
-파견기간 학기에는 반드시 재학생 신분 유지 (휴학불가)",,
,교환학생,지원서류,,,,교환학생 지원서류,"지원서류
-교환학생 프로그램 참가신청서 1부
-자기소개서 및 학업계획서를 국문 및 해당 언어로 각각 1부씩 작성
-본교 국문 성적 증명서 1부 (단, 편입생인 경우 편입전 학교 성적증명서도 제출)
-공인 외국어 성적표 사본 1부 (원본대조 필)
-개인정보 제공 및 활용 동의서 1부
-교환학생 프로그램 지원 서약서 1부",,
,교환학생,,,,,교환학생,"아래의 키워드를 입력해주세요!
-교환학생 지원자격
-교환학생 진행절차
-교환학생 선발 및 파견시기
-교환학생 파견기간
-교환학생 지원서류
그 외의 정보는 링크를 통해서 확인해주세요!??",http://pre.ssu.ac.kr/web/study/program_a_01,
,증명서,,,,,증명서 발급,"학교 내 증명서 자동발급기 
이용장소: 진리관 1층 및 신양관 학사팀
이용시간: 09:00 ~ 22:00
수수료: 1통당 500원
결제방법: 신용카드 또는 핸드폰

인터넷, 우체국, Fax민원 신청으로도 발급 가능해요!
자세한 방법 보러가기!??",https://ssu.ac.kr/%ed%95%99%ec%82%ac/%ec%a6%9d%eb%aa%85%ec%84%9c-%eb%b0%9c%ea%b8%89/,
,증명서,성적증명서,,,,성적증명서,"학교 내 증명서 자동발급기 
이용장소: 진리관 1층 및 신양관 학사팀
이용시간: 09:00 ~ 22:00
수수료: 1통당 500원
결제방법: 신용카드 또는 핸드폰

인터넷, 우체국, Fax민원 신청으로도 발급 가능해요!
자세한 방법 보러가기!??",https://ssu.ac.kr/%ed%95%99%ec%82%ac/%ec%a6%9d%eb%aa%85%ec%84%9c-%eb%b0%9c%ea%b8%89/,
,증명서,재학증명서,,,,재학증명서,"학교 내 증명서 자동발급기 
이용장소: 진리관 1층 및 신양관 학사팀
이용시간: 09:00 ~ 22:00
수수료: 1통당 500원
결제방법: 신용카드 또는 핸드폰

인터넷, 우체국, Fax민원 신청으로도 발급 가능해요!
자세한 방법 보러가기!??",https://ssu.ac.kr/%ed%95%99%ec%82%ac/%ec%a6%9d%eb%aa%85%ec%84%9c-%eb%b0%9c%ea%b8%89/,
